,Location,Period,Dim1,First Tooltip,No
187,安哥拉,2017,Male,21.04,AO
188,安哥拉,2017,Female,4.86,AO
189,安哥拉,2016,Both sexes,12.87,AO
190,安哥拉,2016,Male,21.84,AO
191,安哥拉,2016,Female,5.1,AO
192,安哥拉,2015,Both sexes,13.27,AO
193,安哥拉,2015,Male,22.69,AO
194,安哥拉,2015,Female,5.06,AO
195,安哥拉,2014,Both sexes,13.14,AO
196,安哥拉,2014,Male,22.62,AO
197,安哥拉,2014,Female,4.84,AO
198,安哥拉,2013,Both sexes,14.16,AO
199,安哥拉,2013,Male,24.27,AO
200,安哥拉,2013,Female,5.22,AO
201,安哥拉,2012,Both sexes,14.16,AO
202,安哥拉,2012,Male,24.1,AO
203,安哥拉,2012,Female,5.37,AO
204,安哥拉,2011,Both sexes,13.49,AO
205,安哥拉,2011,Male,22.84,AO
206,安哥拉,2011,Female,5.24,AO
207,安哥拉,2010,Both sexes,14.21,AO
208,安哥拉,2010,Male,23.92,AO
209,安哥拉,2010,Female,5.61,AO
210,安哥拉,2009,Both sexes,13.65,AO
211,安哥拉,2009,Male,22.99,AO
212,安哥拉,2009,Female,5.35,AO
213,安哥拉,2008,Both sexes,15.27,AO
214,安哥拉,2008,Male,25.52,AO
215,安哥拉,2008,Female,6.09,AO
216,安哥拉,2007,Both sexes,15.02,AO
217,安哥拉,2007,Male,25.24,AO
218,安哥拉,2007,Female,5.85,AO
219,安哥拉,2006,Both sexes,17.06,AO
220,安哥拉,2006,Male,28.42,AO
221,安哥拉,2006,Female,6.78,AO
222,安哥拉,2005,Both sexes,16.26,AO
223,安哥拉,2005,Male,27.09,AO
224,安哥拉,2005,Female,6.49,AO
225,安哥拉,2004,Both sexes,17.19,AO
226,安哥拉,2004,Male,28.61,AO
227,安哥拉,2004,Female,6.8,AO
228,安哥拉,2003,Both sexes,17.47,AO
229,安哥拉,2003,Male,29.06,AO
230,安哥拉,2003,Female,6.87,AO
231,安哥拉,2002,Both sexes,17.24,AO
232,安哥拉,2002,Male,28.96,AO
233,安哥拉,2002,Female,6.49,AO
234,安哥拉,2001,Both sexes,17.46,AO
235,安哥拉,2001,Male,29.8,AO
236,安哥拉,2001,Female,6.13,AO
237,安哥拉,2000,Both sexes,17.56,AO
238,安哥拉,2000,Male,29.96,AO
239,安哥拉,2000,Female,6.16,AO
240,安提瓜和巴布达,2019,Both sexes,0.32,AG
241,安提瓜和巴布达,2019,Male,0.0,AG
242,安提瓜和巴布达,2019,Female,0.6,AG
243,安提瓜和巴布达,2018,Both sexes,0.32,AG
244,安提瓜和巴布达,2018,Male,0.0,AG
245,安提瓜和巴布达,2018,Female,0.61,AG
246,安提瓜和巴布达,2017,Both sexes,0.0,AG
247,安提瓜和巴布达,2017,Male,0.0,AG
248,安提瓜和巴布达,2017,Female,0.0,AG
249,安提瓜和巴布达,2016,Both sexes,0.49,AG
250,安提瓜和巴布达,2016,Male,0.0,AG
251,安提瓜和巴布达,2016,Female,0.93,AG
252,安提瓜和巴布达,2015,Both sexes,0.42,AG
253,安提瓜和巴布达,2015,Male,0.0,AG
254,安提瓜和巴布达,2015,Female,0.79,AG
255,安提瓜和巴布达,2014,Both sexes,0.44,AG
256,安提瓜和巴布达,2014,Male,0.0,AG
257,安提瓜和巴布达,2014,Female,0.83,AG
258,安提瓜和巴布达,2013,Both sexes,0.0,AG
259,安提瓜和巴布达,2013,Male,0.0,AG
